name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
K2-75 c,1862,8.1 Earths,12.701,2016,,Neptune-like,2016,8.1 Earths,0.247 x Jupiter,0.1429 AU,18.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-77 b,464,1.9 Jupiters,12.158,2016,,Neptune-like,2016,1.9 Jupiters,0.205 x Jupiter,0.076 AU,8.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-79 b,841,13.2 Earths,12.075,2016,,Neptune-like,2016,13.2 Earths,0.329 x Jupiter,0.0987 AU,11 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-09-2016
K2-7 b,2462,7.61 Earths,13.213,2015,,Neptune-like,2015,7.61 Earths,0.238 x Jupiter,0.1814 AU,28.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-80 b,659,4.7 Earths,12.626,2016,,Super Earth,2016,4.7 Earths,2.01 x Earth,0.135 AU,19.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-80 c,659,2.76 Earths,12.626,2016,,Super Earth,2016,2.76 Earths,1.47 x Earth,0.0596 AU,5.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-07-2016
K2-80 d,659,7.04 Earths,12.626,2018,,Neptune-like,2018,7.04 Earths,0.228 x Jupiter,Unknown,28.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-81 b,829,4.54 Earths,14.364,2016,,Super Earth,2016,4.54 Earths,1.97 x Earth,0.059 AU,6.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-83 b,411,2.08 Earths,14.514,2016,,Super Earth,2016,2.08 Earths,1.244 x Earth,0.03014 AU,2.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-02-2018
K2-83 c,411,2.8 Earths,14.514,2016,,Super Earth,2016,2.8 Earths,1.483 x Earth,0.07131 AU,10 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-84 b,937,6.39 Earths,13.443,2016,,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.0665 AU,6.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-84 c,937,4.78 Earths,13.443,2016,,Super Earth,2016,4.78 Earths,2.03 x Earth,0.1768 AU,27.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-85 b,318,1.01 Earths,12.831,2016,,Super Earth,2016,1.01 Earths,1.01 x Earth,0.01263 AU,0.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-86 b,850,4.5 Earths,13.167,2016,,Super Earth,2016,4.5 Earths,1.96 x Earth,0.077 AU,8.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-87 b,1643,0.141 Jupiters,14.134,2016,,Gas Giant,2016,0.141 Jupiters,0.678 x Jupiter,0.094 AU,9.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-88 b,362,2.04 Earths,15.476,2016,,Super Earth,2016,2.04 Earths,1.23 x Earth,0.0345 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-89 b,281,0.17 Earths,14.162,2016,,Terrestrial,2016,0.17 Earths,0.615 x Earth,0.01462 AU,1.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
K2-8 b,1331,12.5 Earths,14.61,2015,,Neptune-like,2015,12.5 Earths,0.319 x Jupiter,0.0856 AU,10.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-8 c,1331,6.39 Earths,14.61,2016,,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.0532 AU,5.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-90 b,440,7.27 Earths,13.855,2016,,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.096 AU,13.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-01-2016
K2-90 c,440,2.24 Earths,13.855,2016,,Super Earth,2016,2.24 Earths,1.3 x Earth,0.035 AU,2.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
K2-91 b,204,1.37 Earths,15.572,2016,,Super Earth,2016,1.37 Earths,1.1 x Earth,0.0164 AU,1.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
K2-95 b,589,14.3 Earths,16.084,2016,,Neptune-like,2016,14.3 Earths,0.346 x Jupiter,0.0696 AU,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07-2016
K2-97 b,2837,0.48 Jupiters,12.611,2016,,Gas Giant,2016,0.48 Jupiters,0.947 x Jupiter,0.086 AU,8.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
K2-98 b,1717,32.2 Earths,12.166,2016,,Neptune-like,2016,32.2 Earths,0.464 x Jupiter,0.0974 AU,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
K2-99 b,1704,0.97 Jupiters,11.149,2016,,Gas Giant,2016,0.97 Jupiters,1.046 x Jupiter,0.1597 AU,18.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
K2-9 b,271,5.69 Earths,15.63,2015,,Neptune-like,2015,5.69 Earths,0.201 x Jupiter,0.091 AU,18.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
Kappa Andromedae b,163,13.616 Jupiters,4.14,2012,,Gas Giant,2012,13.616 Jupiters,1.1 x Jupiter,55.0 AU,253.1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kappa Coronae Borealis b,98,2.17 Jupiters,4.79,2007,,Gas Giant,2007,2.17 Jupiters,1.19 x Jupiter,2.65 AU,3.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-12-2018
Kapteyn c,13,7 Earths,8.845,2014,,Neptune-like,2014,7 Earths,0.227 x Jupiter,0.311 AU,121.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-06-2014
KELT-10 b,597,0.679 Jupiters,10.854,2016,,Gas Giant,2016,0.679 Jupiters,1.399 x Jupiter,0.0525 AU,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
KELT-11 b,324,0.171 Jupiters,8.04,2017,,Gas Giant,2017,0.171 Jupiters,1.35 x Jupiter,0.06229 AU,4.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-04-2016
KELT-12 b,1174,0.95 Jupiters,10.59,2017,,Gas Giant,2017,0.95 Jupiters,1.78 x Jupiter,0.06708 AU,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-01-2019
KELT-14 b,868,1.284 Jupiters,11,2016,,Gas Giant,2016,1.284 Jupiters,1.743 x Jupiter,0.03005 AU,1.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-04-2017
KELT-15 b,1069,1.31 Jupiters,11.189,2016,,Gas Giant,2016,1.31 Jupiters,1.74 x Jupiter,0.04613 AU,3.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-06-2016
KELT-16 b,1469,2.75 Jupiters,11.898,2017,,Gas Giant,2017,2.75 Jupiters,1.415 x Jupiter,0.02044 AU,1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-17 b,685,1.31 Jupiters,9.286,2016,,Gas Giant,2016,1.31 Jupiters,1.525 x Jupiter,0.04881 AU,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-02-2017
KELT-18 b,1014,1.18 Jupiters,10.117,2017,,Gas Giant,2017,1.18 Jupiters,1.57 x Jupiter,0.0455 AU,2.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-09-2016
KELT-19 A b,988,4.07 Jupiters,9.885,2017,,Gas Giant,2017,4.07 Jupiters,1.91 x Jupiter,0.0637 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-04-2017
KELT-1 b,855,27.23 Jupiters,10.701,2012,,Gas Giant,2012,27.23 Jupiters,1.11 x Jupiter,0.02466 AU,1.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-01-2018
KELT-20 b,456,3.382 Jupiters,7.58,2017,,Gas Giant,2017,3.382 Jupiters,1.741 x Jupiter,0.0542 AU,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-21 b,1354,3.91 Jupiters,10.541,2018,,Gas Giant,2018,3.91 Jupiters,1.586 x Jupiter,0.05224 AU,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-11-2017
KELT-23 A b,409,0.938 Jupiters,10.253,2019,,Gas Giant,2019,0.938 Jupiters,1.323 x Jupiter,0.03302 AU,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-02-2018
KELT-24 b,313,5.18 Jupiters,8.332,2019,,Gas Giant,2019,5.18 Jupiters,1.272 x Jupiter,0.06969 AU,5.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
KELT-2 A b,439,1.7 Jupiters,8.713,2012,,Gas Giant,2012,1.7 Jupiters,1.35 x Jupiter,0.05497 AU,4.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-09-2019
KELT-3 b,689,1.94 Jupiters,9.873,2013,,Gas Giant,2013,1.94 Jupiters,1.56 x Jupiter,0.04123 AU,2.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-4 A b,685,0.902 Jupiters,9.98,2016,,Gas Giant,2016,0.902 Jupiters,1.699 x Jupiter,0.04317 AU,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-02-2016
KELT-6 b,791,0.52 Jupiters,10.418,2014,,Gas Giant,2014,0.52 Jupiters,1.3 x Jupiter,0.07939 AU,7.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-6 c,791,3.71 Jupiters,10.418,2015,,Gas Giant,2015,3.71 Jupiters,1.16 x Jupiter,2.39 AU,3.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-09-2015
KELT-7 b,448,1.39 Jupiters,8.54,2015,,Gas Giant,2015,1.39 Jupiters,1.6 x Jupiter,0.04415 AU,2.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-8 b,648,0.66 Jupiters,10.833,2015,,Gas Giant,2015,0.66 Jupiters,1.62 x Jupiter,0.0455 AU,3.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
KELT-9 b,671,2.88 Jupiters,7.55,2017,,Gas Giant,2017,2.88 Jupiters,1.891 x Jupiter,0.03462 AU,1.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05-06-2017
Kepler-1000 b,3017,20.3 Earths,13.192,2016,,Neptune-like,2016,20.3 Earths,0.425 x Jupiter,Unknown,120 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-10-2015
Kepler-1001 b,3291,10.1 Earths,15.33,2016,,Neptune-like,2016,10.1 Earths,0.281 x Jupiter,Unknown,14.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-07-2017
Kepler-1001 c,3291,3.11 Earths,15.33,2020,,Super Earth,2020,3.11 Earths,1.578 x Earth,Unknown,9.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-1002 b,1386,3.57 Earths,11.647,2016,,Super Earth,2016,3.57 Earths,1.71 x Earth,Unknown,4.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2016
Kepler-1003 b,2848,3.82 Earths,14.023,2016,,Super Earth,2016,3.82 Earths,1.78 x Earth,Unknown,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2016
Kepler-1004 b,3523,32.5 Earths,13.4,2016,,Neptune-like,2016,32.5 Earths,0.56 x Jupiter,Unknown,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1005 b,1680,2.86 Earths,13.184,2016,,Super Earth,2016,2.86 Earths,1.5 x Earth,Unknown,6.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1006 b,1618,2.99 Earths,14.563,2016,,Super Earth,2016,2.99 Earths,1.54 x Earth,Unknown,19.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-09-2020
Kepler-1007 b,1191,2.67 Earths,14.735,2016,,Super Earth,2016,2.67 Earths,1.44 x Earth,Unknown,5.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1008 b,975,2.18 Earths,13.379,2016,,Super Earth,2016,2.18 Earths,1.28 x Earth,Unknown,12.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1009 b,917,5.35 Earths,15.301,2016,,Neptune-like,2016,5.35 Earths,2.17 x Earth,Unknown,11.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-100 b,1003,7.34 Earths,11.129,2014,,Super Earth,2014,7.34 Earths,1.32 x Earth,Unknown,6.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-100 c,1003,7.05 Earths,11.129,2014,,Neptune-like,2014,7.05 Earths,2.2 x Earth,Unknown,12.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-100 d,1003,3 Earths,11.129,2014,,Super Earth,2014,3 Earths,1.61 x Earth,Unknown,35.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1010 b,1990,5.99 Earths,14.687,2016,,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,Unknown,34.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1011 b,2805,8.6 Earths,15.203,2016,,Neptune-like,2016,8.6 Earths,0.256 x Jupiter,Unknown,5.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1012 b,1370,2.21 Earths,13.315,2016,,Super Earth,2016,2.21 Earths,1.29 x Earth,Unknown,5.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-09-2014
Kepler-1013 b,1412,5.27 Earths,14.408,2016,,Neptune-like,2016,5.27 Earths,2.15 x Earth,Unknown,18.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-09-2014
Kepler-1014 b,2192,6.3 Earths,14.627,2016,,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,Unknown,16.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1015 b,3040,12.3 Earths,12.759,2016,,Neptune-like,2016,12.3 Earths,0.317 x Jupiter,Unknown,16 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1016 b,4042,5.39 Earths,15.319,2016,,Neptune-like,2016,5.39 Earths,2.18 x Earth,Unknown,2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1016 c,4042,13.1 Earths,15.319,2016,,Neptune-like,2016,13.1 Earths,0.328 x Jupiter,Unknown,105.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1017 b,1807,4.62 Earths,14.115,2016,,Super Earth,2016,4.62 Earths,1.99 x Earth,Unknown,7.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1018 b,2916,7.18 Earths,15.014,2016,,Neptune-like,2016,7.18 Earths,0.23 x Jupiter,Unknown,49.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1019 b,646,2.73 Earths,13.593,2016,,Super Earth,2016,2.73 Earths,1.46 x Earth,Unknown,1.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-101 b,3110,0.16 Jupiters,13.8,2014,,Gas Giant,2014,0.16 Jupiters,0.51 x Jupiter,0.0474 AU,3.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-101 c,3110,3.78 Earths,13.8,2014,,Super Earth,2014,3.78 Earths,1.25 x Earth,0.0684 AU,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1020 b,1455,5.82 Earths,13.983,2016,,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,Unknown,96.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1021 b,2730,6.04 Earths,15.173,2016,,Neptune-like,2016,6.04 Earths,0.208 x Jupiter,Unknown,13.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1022 b,1484,6.17 Earths,15.377,2016,,Neptune-like,2016,6.17 Earths,0.211 x Jupiter,Unknown,11 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2016
Kepler-1023 b,2238,7.41 Earths,14.502,2016,,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,Unknown,62.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2016
Kepler-1024 b,3317,14.5 Earths,16.006,2016,,Neptune-like,2016,14.5 Earths,0.349 x Jupiter,Unknown,66.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-1025 b,2336,4.58 Earths,13.556,2016,,Super Earth,2016,4.58 Earths,1.98 x Earth,Unknown,37.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-1026 b,1269,5.52 Earths,14.202,2016,,Neptune-like,2016,5.52 Earths,2.21 x Earth,Unknown,36.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2016
Kepler-1027 b,949,0.64 Earths,12.84,2016,,Terrestrial,2016,0.64 Earths,0.89 x Earth,Unknown,1.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1028 b,2065,2.33 Earths,14.31,2016,,Super Earth,2016,2.33 Earths,1.33 x Earth,Unknown,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-1029 b,1377,2.13 Earths,14.301,2016,,Super Earth,2016,2.13 Earths,1.26 x Earth,Unknown,4.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-102 b,353,4.3 Earths,11.478,2014,,Terrestrial,2014,4.3 Earths,0.47 x Earth,Unknown,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-102 c,353,3 Earths,11.478,2014,,Terrestrial,2014,3 Earths,0.58 x Earth,Unknown,7.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-102 d,353,3.8 Earths,11.478,2014,,Super Earth,2014,3.8 Earths,1.18 x Earth,Unknown,10.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-102 e,353,8.93 Earths,11.478,2013,,Super Earth,2013,8.93 Earths,2.22 x Earth,Unknown,16.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-102 f,353,5.2 Earths,11.478,2014,,Terrestrial,2014,5.2 Earths,0.88 x Earth,Unknown,27.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
